                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.6441,                0.44353,                0.92046,                0.92707,                0.97899,                   0.99,                0.86948,                 0.6038,                0.44579,                0.96205,               0.006436,               0.006436,               0.006436
                     38,                0.74462,                0.48705,                0.94381,                0.86483,                0.98517,                0.97951,                0.87495,                0.62097,                0.45188,                0.96435,               0.006337,               0.006337,               0.006337
                     39,                0.62273,                0.44441,                0.89396,                0.99158,                0.92308,                0.98567,                0.86933,                0.61866,                0.46389,                0.96839,               0.006238,               0.006238,               0.006238
                     40,                0.62631,                0.42975,                0.90219,                      1,                0.99212,                  0.995,                0.86118,                0.56116,                0.45074,                0.94463,               0.006139,               0.006139,               0.006139
                     41,                0.59395,                0.42479,                0.89154,                      1,                0.98205,                  0.995,                0.87324,                0.57129,                 0.4852,                0.93656,                0.00604,                0.00604,                0.00604
                     42,                0.64667,                 0.4547,                0.89793,                0.99731,                0.84615,                0.96674,                0.84013,                0.53971,                0.50666,                0.93185,               0.005941,               0.005941,               0.005941
                     43,                 0.6177,                0.42074,                0.91267,                0.90102,                0.92308,                 0.9694,                0.83404,                0.55545,                0.50743,                0.91817,               0.005842,               0.005842,               0.005842
                     44,                 0.6095,                0.43565,                0.89749,                      1,                0.91454,                0.96457,                0.85947,                0.48783,                0.58857,                0.91118,               0.005743,               0.005743,               0.005743
                     45,                0.64329,                0.43726,                0.91328,                0.90093,                0.84615,                0.94096,                0.85887,                0.48123,                0.50491,                0.91426,               0.005644,               0.005644,               0.005644
                     46,                0.59435,                0.41121,                0.89955,                0.89708,                0.84615,                0.94567,                0.81287,                0.48721,                0.52301,                0.91339,               0.005545,               0.005545,               0.005545
                     47,                0.55875,                0.40215,                0.88194,                0.79127,                0.92308,                0.93092,                0.83803,                0.47122,                0.51186,                0.91088,               0.005446,               0.005446,               0.005446
                     48,                0.59522,                0.44687,                0.89876,                0.99324,                0.84615,                 0.9454,                0.82816,                0.45914,                0.52314,                0.90709,               0.005347,               0.005347,               0.005347
                     49,                0.55209,                0.40854,                0.88695,                0.90563,                0.84615,                0.94857,                0.84175,                0.50779,                0.53435,                0.90794,               0.005248,               0.005248,               0.005248
                     50,                0.58939,                0.41195,                0.87105,                0.90575,                0.84615,                0.95956,                0.85457,                0.52872,                0.51895,                0.91688,               0.005149,               0.005149,               0.005149
                     51,                0.62197,                0.43129,                0.87907,                      1,                0.91361,                0.96636,                0.86086,                0.58948,                0.50028,                0.93927,                0.00505,                0.00505,                0.00505
                     52,                0.62197,                0.40976,                0.88516,                0.99091,                0.84615,                0.95135,                0.84119,                0.60954,                0.46573,                0.94718,               0.004951,               0.004951,               0.004951
                     53,                0.60533,                0.41257,                0.91775,                0.99812,                0.92308,                0.95638,                0.84547,                0.54978,                 0.4602,                0.94073,               0.004852,               0.004852,               0.004852
                     54,                0.62562,                0.43058,                0.88955,                0.84038,                0.92308,                0.95024,                0.87116,                0.49777,                0.46591,                0.93454,               0.004753,               0.004753,               0.004753
                     55,                0.58509,                0.39306,                0.89828,                0.91515,                0.84615,                0.95746,                0.87426,                 0.5014,                 0.4609,                0.93067,               0.004654,               0.004654,               0.004654
                     56,                0.57371,                0.40448,                0.91929,                0.96291,                0.76923,                0.94653,                0.86138,                0.47713,                0.50396,                0.92548,               0.004555,               0.004555,               0.004555
                     57,                0.58559,                0.38496,                0.90538,                0.92796,                0.99148,                0.97857,                0.87754,                0.52173,                0.43109,                 0.9442,               0.004456,               0.004456,               0.004456
                     58,                0.55504,                  0.401,                0.87805,                0.92743,                0.98407,                0.97857,                0.87604,                0.48424,                0.42767,                0.93515,               0.004357,               0.004357,               0.004357
                     59,                0.61769,                0.41503,                0.87929,                0.91431,                      1,                0.97857,                0.90345,                0.46341,                0.40405,                0.91836,               0.004258,               0.004258,               0.004258
                     60,                 0.5564,                0.38255,                 0.8828,                0.92812,                0.99375,                0.98429,                0.91138,                0.41402,                0.38359,                0.89812,               0.004159,               0.004159,               0.004159
                     61,                0.53065,                0.36438,                0.85735,                0.91123,                      1,                0.98429,                0.88191,                0.44207,                0.39768,                0.89865,                0.00406,                0.00406,                0.00406
                     62,                0.54728,                0.36882,                0.87505,                0.92733,                0.98264,                0.97857,                 0.8663,                0.50095,                0.45316,                    0.9,               0.003961,               0.003961,               0.003961
                     63,                0.56354,                0.37654,                0.87108,                0.85531,                0.91022,                0.96833,                0.84859,                0.53527,                0.50836,                0.91264,               0.003862,               0.003862,               0.003862
